call_letters,network,location
WDSU,6.1NBC,"New Orleans, Louisiana"
,43.2MeTV,
WDTI,Daystar,"Indianapolis, Indiana"
WDTN,NBC,"Dayton, Ohio"
WDTV,CBS,"Weston, West Virginia"
WDVM-TV,Independent/Heroes & Icons,"Hagerstown, Maryland"
WDWL,36.1 TBN Enlace USA,"Bayamon, Puerto Rico"
,,
WE[edit],,
,,
Call letters,Network(s),City and state
WEAO,PBS,"Akron, Ohio"
WEAR-TV,ABC,"Pensacola, Florida"
WEAU,NBC,"Eau Claire, Wisconsin"
WEBA-TV,PBS,"Allendale, South Carolina"
WECN,Independent,"Naranjito, Puerto Rico"
WECT,NBC,"Wilmington, North Carolina"
WEDH,PBS,"Hartford, Connecticut"
WEDN,PBS,"Norwich, Connecticut"
WEDQ,PBS,"Tampa, Florida"
WEDU,PBS,"Tampa, Florida"
WEDW,PBS,"Bridgeport, Connecticut"
WEDY,PBS,"New Haven, Connecticut"
WEEK-TV,25.1NBC,"Peoria, Illinois"
,25.2AccuWeather,
WEFS,68.1 Educational Independent,"Cocoa, Florida"
WEHT,25.1ABC,"Evansville, Indiana"
WEIQ,PBS,"Mobile, Alabama"
WEIU-TV,PBS,"Charleston, Illinois"
WEKW-TV,PBS,"Keene, New Hampshire"
WELF-TV,TBN,"Dalton, Georgia"
WELU,Religious,"Aguadilla, Puerto Rico"
WEMT,39.1Fox,"Greeneville, Tennessee"
,38.2This TV,
WENH-TV,PBS,"Durham, New Hampshire"
WENY-TV,36.1ABC,"Elmira, New York"
,36.2CBS,
,36.3The CW,
WEPH,CTN,"Tupelo, Mississippi"
WEPX-TV,ION Television,"Greenville, North Carolina"
WESH,2.1NBC,"Daytona Beach / Orlando, Florida"
,11.2Me-TV,
WETA-TV,PBS,"Washington, District of Columbia"
WETK,PBS,"Burlington, Vermont"
WETM-TV,18.1NBC,"Elmira, New York"
,18.2Independent,
WETP-TV,PBS,"Sneedville, Tennessee"
WEUX,48.1Fox,"Chippewa Falls, Wisconsin"
,49.2Me-TV,
WEVV-TV,44.1CBS,"Evansville, Indiana"
,44.2Fox/MyNetworkTV,
WEWS-TV,ABC,"Cleveland, Ohio"
WEYI-TV,25.1NBC,"Saginaw, Michigan"
,30.3Bounce TV,
,,
WF[edit],,
,,
Call letters,Network(s),City and state
WFAA,ABC,"Dallas, Texas"
WFBD,America One,"Destin, Florida"
WFDC-DT,Univision,"Arlington, Virginia"
WFFF-TV,44.1Fox,"Burlington, Vermont"
WFFP-TV,Religious Independent,"Danville, Virginia"
WFFT-TV,Fox,"Fort Wayne, Indiana"
WFGC,CTN,"Palm Beach, Florida"
WFGX,35.1MyNetworkTV,"Fort Walton Beach, Florida"
WFIE,14.1NBC,"Evansville, Indiana"
,14.2Independent,
,46.3This TV,
WFIQ,PBS,"Florence, Alabama"
WFLA-TV,8.1NBC,"Tampa, Florida"
,8.2Me-TV,
WFLD,Fox,"Chicago, Illinois"
WFLI-TV,53.1The CW,"Cleveland, Tennessee"
,42.2Me-TV,
WFLX,Fox,"West Palm Beach, Florida"
WFMJ-TV,NBC,"Youngstown, Ohio"
WFMY-TV,CBS,"Greensboro, North Carolina"
WFMZ-TV,69.1Independent,"Allentown, Pennsylvania"
,69.3Me-TV,
WFNA,The CW,"Gulf Shores, Alabama"
WFOR-TV,CBS,"Miami, Florida"
WFOX-TV,30.1Fox,"Jacksonville, Florida"
,30.2Me-TV/MyNetworkTV,
WFPT,PBS,"Frederick, Maryland"
WFPX-TV,ION Television,"Fayetteville, North Carolina"
WFQX-TV,Fox,"Cadillac, Michigan"
WFRV-TV,CBS,"Green Bay, Wisconsin"
WFSB,CBS,"Hartford, Connecticut"
WFSG,PBS,"Panama City, Florida"
WFSU-TV,PBS,"Tallahassee, Florida"
WFTC,MyNetworkTV,"Minneapolis, Minnesota"
WFTS-TV,ABC,"Tampa, Florida"
WFTT-DT,UniMás,"Tampa, Florida"
WFTV,ABC,"Orlando, Florida"
WFTX-TV,Fox,"Cape Coral, Florida"
WFTY-DT,UniMás,"Smithtown, New York"
WFUP,45.1Fox,"Vanderbilt, Michigan"
,45.2CBS,
WFUT-DT,UniMás,"Newark, New Jersey"
WFWA,PBS,"Fort Wayne, Indiana"
WFXB,43.1Fox,"Myrtle Beach, South Carolina"
,18.4Me-TV,
WFXG,54.1Fox,"Augusta, Georgia"
,31.2This TV,
WFXL,31.1 Fox,"Albany, Georgia"
,31.2 TBD,
,31.3 Comet,
,31.4 Charge!,
WFXP,66.1 Fox,"Erie, Pennsylvania"
,66.2 Grit,
,66.3 Bounce,
WFXR,Fox,"Roanoke, Virginia"
WFXT,Fox,"Boston, Massachusetts"
WFXU,Soul of the South Network,"Live Oak, Florida"
WFXV,33.1 Fox,"Utica, New York"
,33.2 Escape,
,33.3 Laff,
WFXW,Silent,"Greenville, Mississippi"
WFYI,PBS,"Indianapolis, Indiana"
,,
WG[edit],,
,,
Call letters,Network(s),City and state
WGAL,8.1NBC,"Lancaster, Pennsylvania"
,8.2This TV,
WGBA-TV,26.1NBC,"Green Bay, Wisconsin"
,41.2Me-TV,
WGBC,30.1Fox,"Meridian, Mississippi"
,30.2NBC,
WGBH-TV,PBS,"Boston, Massachusetts"
WGBO-DT,Univisión,"Joliet, Illinois"
WGBX-TV,PBS,"Boston, Massachusetts"
WGBY-TV,PBS,"Springfield, Massachusetts"
WGCB-TV,49.1Independent,"Red Lion, Pennsylvania"
,49.2Me-TV,
WGCL-TV,CBS,"Atlanta, Georgia"
WGCU,PBS,"Fort Myers, Florida"
WGEM-TV,10.1NBC,"Quincy, Illinois"
,10.2The CW,
,10.3Fox,
WGEN-TV,MundoFox,"Key West, Florida"
WGFL,53.1CBS,"High Springs, Florida"
,11.2WMYG-LP,
WGGB-TV,40.1ABC,"Springfield, Massachusetts"
,40.2Fox/MyNetworkTV,
WGGN-TV,Religious independent,"Sandusky, Ohio"
WGGS-TV,Religious,"Greenville, South Carolina"
WGHP,8.1Fox,"High Point, North Carolina"
,8.2Antenna TV,
WGIQ,PBS,"Louisville, Alabama"
WGMB-TV,44.1Fox,"Baton Rouge, Louisiana"
,21.2WBRL-CD,
WGME-TV,CBS,"Portland, Maine"
WGN-TV,The CW,"Chicago, Illinois"
WGNM,CTN,"Macon, Georgia"
WGNO,ABC,"New Orleans, Louisiana"
WGNT,The CW,"Portsmouth, Virginia"
WGPT,PBS,"Oakland, Maryland"
WGPX-TV,ION Television,"Burlington, North Carolina"
WGRZ,NBC,"Buffalo, New York"
WGSA,The CW,"Baxley, Georgia"
WGTA,Heroes & Icons,"Toccoa, Georgia"
WGTE-TV,PBS,"Toledo, Ohio"
WGTQ,8.1ABC,"Sault Ste. Marie, Michigan"
,8.2NBC,
WGTU,ABC,"Traverse City, Michigan"
WGTV,PBS,"Athens, Georgia"
WGTW-TV,48.1TBN,"Burlington, New Jersey"
,48.2The Church Channel,
,48.3JUCE TV,
,48.4TBN Enlace USA,
,48.5Smile of a Child TV,
WGVK,PBS,"Kalamazoo, Michigan"
WGVU-TV,PBS,"Grand Rapids, Michigan"
WGWG,Dark,"Charleston, South Carolina"
WGWW,Dark,"Anniston, Alabama"
WGXA,24.1Fox,"Macon, Georgia"
,16.2ABC,
,,
WH[edit],,
,,
Call letters,Network(s),City and state
WHA-TV,PBS,"Madison, Wisconsin"
WHAM-TV,13.1ABC,"Rochester, New York"
,13.2The CW,
WHAS-TV,ABC,"Louisville, Kentucky"
WHBF-TV,4.1CBS,"Rock Island, Illinois"
WHBQ-TV,Fox,"Memphis, Tennessee"
WHBR,CTN,"Pensacola, Florida"
WHDF,The CW,"Florence, Alabama"
WHDH,7.1NBC,"Boston, Massachusetts"
,42.2This TV,
WHDT,TACH-TV,"Stuart, Florida"
WHEC-TV,10.1NBC,"Rochester, New York"
,10.2Me-TV,
WHFT-TV,TBN,"Miami, Florida"
WHIO-TV,CBS,"Dayton, Ohio"
WHIQ,PBS,"Huntsville, Alabama"
WHIZ-TV,NBC,"Zanesville, Ohio"
WHKY-TV,Independent,"Hickory, North Carolina"
WHLA-TV,PBS,"La Crosse, Wisconsin"
WHLT,CBS,"Hattiesburg, Mississippi"
WHLV-TV,TBN,"Cocoa, Florida"
WHMB-TV,LeSEA,"Indianapolis, Indiana"
WHMC,PBS,"Conway, South Carolina"
WHME-TV,LeSEA,"South Bend, Indiana"
WHNO,LeSEA,"New Orleans, Louisiana"
WHNS,Fox,"Asheville, North Carolina"
WHNT-TV,19.1CBS,"Huntsville, Alabama"
,19.2Antenna TV,
WHO-DT,NBC,"Des Moines, Iowa"
WHOI,19.1ABC,"Peoria, Illinois"
,19.2The CW,
WHP-TV,21.1CBS,"Harrisburg, Pennsylvania"
,21.2MyNetworkTV,
WHPX-TV,ION Television,"New London, Connecticut"
WHRM-TV,PBS,"Wausau, Wisconsin"
WHRO-TV,PBS,"Hampton / Norfolk, Virginia"
WHSG-TV,TBN,"Monroe, Georgia"
WHSV-TV,3.1ABC,"Harrisonburg, Virginia"
,43.2WSVF-CD,
,49.4MyNetworkTV,
WHTJ,PBS,"Charlottesville, Virginia"
WHTM-TV,27.1ABC,"Harrisburg, Pennsylvania"
,27.2RTV,
WHTN,Christian Television Network,"Murfreesboro, Tennessee"
WHUT-TV,PBS,"Washington, District of Columbia"
WHWC-TV,PBS,"Menomonie, Wisconsin"
WHYY-TV,12.1PBS,"Wilmington, Delaware"
,12.2PBS,
,12.3PBS World,
,,
WI[edit],,
,,
Call letters,Network(s),City and state
WIAT,CBS,"Birmingham, Alabama"
WIBW-TV,13.1CBS,"Topeka, Kansas"
,13.2MyNetworkTV/Me-TV,
WICD,ABC,"Champaign, Illinois"
WICS,ABC,"Springfield, Illinois"
WICU-TV,12.1 NBC,"Erie, Pennsylvania"
,12.2 Me-TV,
,12.3 Ion Television,
WICZ-TV,40.1Fox,"Binghamton, New York"
,8.2WBPN-LP,
WIDP,46.1 TBN Enlace USA,"Guayama, Puerto Rico"
,46.2 Expande TV,
,46.3 Bethel Television,
,46.4 WNRT,
WIFS,The CW,"Janesville, Wisconsin"
WIIQ,PBS,"Demopolis, Alabama"
WILL-TV,PBS,"Urbana, Illinois"
WILX-TV,NBC,"Onondaga, Michigan"
WINK-TV,CBS,"Fort Myers, Florida"
WINM,TCT,"Angola, Indiana"
WINP-TV,ION,"Pittsburgh, Pennsylvania"
WIPB,PBS,"Muncie, Indiana"
WIPM-TV,PBS,"Mayagüez, Puerto Rico"
WIPR-TV,PBS,"San Juan, Puerto Rico"
WIPX-TV,ION Television,"Bloomington, Indiana"
WIRS,42.1 MundoFox,"Yauco, Puerto Rico"
,42.2 America TV Puerto Rico,
WIRT-DT,13.1ABC,"Hibbing, Minnesota"
,13.2Me-TV,
WIS,NBC,"Columbia, South Carolina"
WISC-TV,3.1CBS,"Madison, Wisconsin"
,50.2MyNetworkTV,
WISE-TV,33.1 The CW,"Fort Wayne, Indiana"
WISH-TV,The CW,"Indianapolis, Indiana"
WISN-TV,ABC,"Milwaukee, Wisconsin"
WITF-TV,PBS,"Harrisburg, Pennsylvania"
WITI,6.1Fox,"Milwaukee, Wisconsin"
,6.2Antenna TV,
WITN-TV,7.1NBC,"Washington, North Carolina"
,7.2MyNetworkTV/Me-TV,
WITV,PBS,"Charleston, South Carolina"
WIVB-TV,CBS,"Buffalo, New York"
WIVT,34.1ABC,"Binghamton, New York"
,20.2WBGH-CA,
WIWN,WeatherNation,"Fond du Lac, Wisconsin"
WIYC,Cozi TV,"Troy, Alabama"
,,
WJ[edit],,
,,
Call letters,Network(s),City and state
WJAC-TV,6.1NBC,"Johnstown, Pennsylvania"
,34.2Me-TV,
WJAL,Independent,"Hagerstown, Maryland"
WJAR,10.1NBC,"Providence, Rhode Island"
,51.2Me-TV,
WJAX-TV,47.1CBS,"Jacksonville, Florida"
WJBF,6.1ABC,"Augusta, Georgia"
,6.2Me-TV,
WJBK,Fox,"Detroit, Michigan"
WJCL,ABC,"Savannah, Georgia"
WJCT,PBS,"Jacksonville, Florida"
WJEB-TV,TBN,"Jacksonville, Florida"
WJET-TV,24.1 ABC,"Erie, Pennsylvania"
,24.2 Laff,
,24.3 Escape,
,24.4 Cozi,
WJFB,Pursuit Channel,"Lebanon, Tennessee"
WJFW-TV,NBC,"Rhinelander, Wisconsin"
WJHG-TV,7.1NBC,"Panama City, Florida"
,7.2The CW,
WJHL-TV,11.1CBS,"Johnson City, Tennessee"
,11.2Me-TV,
WJKT,Fox,"Jackson, Tennessee"
WJLA-TV,7.1ABC,"Washington, District of Columbia"
,7.2Me-TV,
WJLP,Me-TV,"Ely, Nevada"
WJMN-TV,CBS,"Escanaba, Michigan"
WJPM-TV,PBS,"Florence, South Carolina"
WJPX,"Independent, MTV Puerto Rico","San Juan, Puerto Rico"
WJRT-TV,12.1ABC,"Flint, Michigan"
WJSP-TV,PBS,"Columbus, Georgia"
WJTC,Independent,"Pensacola, Florida"
WJTV,12.1CBS,"Jackson, Mississippi"
,12.2The CW,
WJW,Fox,"Cleveland, Ohio"
WJWJ-TV,PBS,"Beaufort, South Carolina"
WJWN-TV,38.1 MundoFox,"San Sebastian, Puerto Rico"
,38.2 America TeVe Puerto Rico,
WJXT,4.1Independent,"Jacksonville, Florida"
WJXX,ABC,"Orange Park, Florida"
WJYS,62.1Independent,"Hammond, Indiana"
,34.2WEDE-CD,
WJZ-TV,CBS,"Baltimore, Maryland"
WJZY,46.1Fox,"Belmont, North Carolina"
,,
WK[edit],,
,,
Call letters,Network(s),City and state
WKAQ-TV,2.1 Telemundo,"San Juan, Puerto Rico"
,2.2 Punto 2,
,2.3 WNBC,
WKAR-TV,23.1 PBS,"East Lansing, Michigan"
,23.2 World,
,23.3 Create,
WKAS,PBS,"Ashland, Kentucky"
WKBD-TV,The CW,"Detroit, Michigan"
WKBN-TV,27.1 CBS,"Youngstown, Ohio"
,27.2 WYFX-LD,
,27.3 Ion Television,
WKBS-TV,Cornerstone Television,"Altoona, Pennsylvania"
WKBT-DT,8.1 CBS,"La Crosse, Wisconsin"
,8.2 MyNetworkTV,
WKBW-TV,ABC,"Buffalo, New York"
WKCF,18.1 The CW,"Clermont, Florida"
,18.2 This TV,
,18.3 Estrella TV,
WKEF,22.1 ABC,"Dayton, Ohio"
,22.2 ASN,
,22.3 Antenna TV,
,22.4 Grit,
WKGB-TV,PBS,"Bowling Green, Kentucky"
WKHA,PBS,"Hazard, Kentucky"
WKLE,PBS,"Lexington, Kentucky"
WKMA-TV,PBS,"Madisonville, Kentucky"
WKMG-TV,CBS,"Orlando, Florida"
WKMJ-TV,PBS,"Louisville, Kentucky"
WKMR,PBS,"Morehead, Kentucky"
WKMU,PBS,"Murray, Kentucky"
WKNO,PBS,"Memphis, Tennessee"
WKNX-TV,Independent,"Knoxville, Tennessee"
WKOH,PBS,"Owensboro, Kentucky"
WKOI-TV,TBN,"Richmond, Indiana"
WKON,PBS,"Owenton, Kentucky"
WKOP-TV,PBS,"Knoxville, Tennessee"
WKOW,27.1 ABC,"Madison, Wisconsin"
,27.2 Me-TV,
,27.3 Decades,
WKPC-TV,PBS,"Louisville, Kentucky"
WKPD,PBS,"Paducah, Kentucky"
WKPI-TV,PBS,"Pikeville, Kentucky"
WKPT-TV,19.1 MyNetworkTV,"Kingsport, Tennessee"
,19.2 WAPK-CD,
,19.3 WOPI-CD,
,19.4 Escape,
WKPV,24.1 América Tevé,"Ponce, Puerto Rico"
,24.3 Infomercials,
,42.1 Teveo,
WKRC-TV,12.1 CBS,"Cincinnati, Ohio"
,12.2 The CW,
,12.3 ASN,
WKRG-TV,5.1 CBS,"Mobile, Alabama"
,5.2 Ion Television,
,5.3 Me-TV,
WKRN-TV,ABC,"Nashville, Tennessee"
WKSO-TV,PBS,"Somerset, Kentucky"
WKTC,The CW/MyNetworkTV,"Sumter, South Carolina"
WKTV,2.1 NBC,"Utica, New York"
,2.2 CBS,
,2.3 The CW,
,2.4 MeTV,
WKYC,NBC,"Cleveland, Ohio"
WKYT-TV,27.1 CBS,"Lexington, Kentucky"
,27.2 The CW,
,27.3 weather radar,
WKYU-TV,PBS,"Bowling Green, Kentucky"
WKZT-TV,PBS,"Elizabethtown, Kentucky"
,,
WL[edit],,
,,
Call letters,Network(s),City and state
WLAE-TV,PBS,"New Orleans, Louisiana"
WLAJ,53.1ABC,"Lansing, Michigan"
,53.2The CW,
WLAX,25.1Fox,"La Crosse, Wisconsin"
,17.2Me-TV,
WLBT,3.1NBC,"Jackson, Mississippi"
,30.3This TV,
WLBZ,NBC,"Bangor, Maine"
WLED-TV,PBS,"Littleton, New Hampshire"
WLEF-TV,PBS,"Park Falls, Wisconsin"
WLEX-TV,18.1NBC,"Lexington, Kentucky"
,39.2Me-TV,
WLFB,Religious,"Bluefield, West Virginia"
WLFG,Religious,"Grundy, Virginia"
WLFI-TV,CBS,"Lafayette, Indiana"
WLFL,The CW,"Raleigh, North Carolina"
WLGA,Antenna TV,"Opelika, Alabama"
WLII-DT,Univisión,"Caguas, Puerto Rico"
WLIO,8.1NBC,"Lima, Ohio"
,8.2Fox/MyNetworkTV,
WLIW,PBS,"Garden City, New York"
WLJC-TV,TBN,"Beattyville, Kentucky"
WLJT-DT,PBS,"Lexington, Tennessee"
WLKY,32.1CBS,"Louisville, Kentucky"
,32.2Me-TV,
WLLA,My Family TV,"Kalamazoo, Michigan"
WLMB,FamilyNet/Worship,"Toledo, Ohio"
WLMT,30.1The CW,"Memphis, Tennessee"
,30.2Me-TV,
WLNE-TV,6.1ABC,"New Bedford, Massachusetts"
,49.2LWN,
WLNS-TV,CBS,"Lansing, Michigan"
WLNY-TV,Independent,"Riverhead, New York"
WLOO,MyNetworkTV,"Vicksburg, Mississippi"
WLOS,ABC,"Asheville, North Carolina"
WLOV-TV,27.1Fox,"West Point, Mississippi"
,16.2Me-TV,
,16.3This TV,
WLOX,13.1ABC,"Biloxi, Mississippi"
,13.2CBS,
,39.3Bounce TV,
WLPB-TV,PBS,"Baton Rouge, Louisiana"
WLPX-TV,ION Television,"Charleston, West Virginia"
WLRN-TV,PBS,"Miami, Florida"
WLS-TV,ABC,"Chicago, Illinois"
WLTV-DT,Univisión,"Miami, Florida"
WLTX,CBS,"Columbia, South Carolina"
WLTZ,38.1NBC,"Columbus, Georgia"
,35.2The CW,
WLUC-TV,6.1NBC,"Marquette, Michigan"
,35.2Fox,
WLUK-TV,Fox,"Green Bay, Wisconsin"
WLVI,The CW,"Cambridge, Massachusetts"
WLVT-TV,PBS,"Allentown, Pennsylvania"
WLWC,28.1The CW,"New Bedford, Massachusetts"
WLWT,5.1NBC,"Cincinnati, Ohio"
,35.2Me-TV,
WLXI,TCT,"Greensboro, North Carolina"
,,
WM[edit],,
,,
Call letters,Network(s),City and state
WMAB-TV,PBS,"Mississippi State, Mississippi"
WMAE-TV,PBS,"Booneville, Mississippi"
WMAH-TV,PBS,"Biloxi, Mississippi"
WMAO-TV,PBS,"Greenwood, Mississippi"
WMAQ-TV,5.1NBC,"Chicago, Illinois"
WMAR-TV,ABC,"Baltimore, Maryland"
WMAU-TV,PBS,"Bude, Mississippi"
WMAV-TV,PBS,"Oxford, Mississippi"
WMAW-TV,PBS,"Meridian, Mississippi"
WMAZ-TV,13.1CBS,"Macon, Georgia"
,13.2The CW,
WMBB,13.1ABC,"Panama City, Florida"
WMBC-TV,Independent,"Newton, New Jersey"
WMBD-TV,31.1CBS,"Peoria, Illinois"
,31.2Bounce TV,
WMBF-TV,32.1NBC,"Myrtle Beach, South Carolina"
,32.2Bounce TV,
,32.3This TV,
WMC-TV,5.1NBC,"Memphis, Tennessee"
,5.3This TV,
WMCF-TV,TBN,"Montgomery, Alabama"
WMCN-TV,44.1Independent,"Atlantic City, New Jersey"
,44.2Soul of the South Network,
WMDE,Soul of the South Network,"Dover, Delaware"
WMDN,CBS,"Meridian, Mississippi"
WMDT,47.1ABC,"Salisbury, Maryland"
,47.2The CW,
WMEA-TV,PBS,"Biddeford, Maine"
WMEB-TV,PBS,"Orono, Maine"
WMEC,PBS,"Macomb, Illinois"
WMED-TV,PBS,"Calais, Maine"
WMEM-TV,PBS,"Presque Isle, Maine"
WMFD-TV,Independent,"Mansfield, Ohio"
,,
WMFP,Cozi TV,"Lawrence, Massachusetts"
WMGM-TV,Independent,"Wildwood, New Jersey"
WMGT-TV,41.1NBC,"Macon, Georgia"
,41.2MyNetworkTV,
WMHT,PBS,"Schenectady, New York"
WMLW-TV,49.1Independent,"Racine, Wisconsin"
,63.4WYTU-LD,
WMOR-TV,32.1Independent,"Lakeland, Florida"
,19.2This TV,
WMOW,4.1 The CW,"Crandon, Wisconsin"
,4.2ABC,
WMPB,PBS,"Baltimore, Maryland"
WMPN-TV,PBS,"Jackson, Mississippi"
WMPT,PBS,"Annapolis, Maryland"
WMPV-TV,TBN,"Mobile, Alabama"
WMSN-TV,47.1Fox,"Madison, Wisconsin"
,47.3TCN,
WMTJ,PBS,"Fajardo, Puerto Rico"
WMTV,NBC,"Madison, Wisconsin"
WMTW,ABC,"Poland Spring, Maine"
WMUM-TV,PBS,"Cochran, Georgia"
WMUR-TV,9.1ABC,"Manchester, New Hampshire"
,9.2Me-TV,
WMVS,PBS,"Milwaukee, Wisconsin"
WMVT,PBS,"Milwaukee, Wisconsin"
WMWC-TV,Trinity Broadcasting Network,"Galesburg, Illinois"
WMYA-TV,40.1MyNetworkTV,"Greenville, South Carolina"
WMYD,20.1MyNetworkTV,"Detroit, Michigan"
WMYT-TV,MyNetworkTV,"Charlotte, North Carolina"
WMYV,48.1MyNetworkTV,"Greensboro, North Carolina"
,,
WN[edit],,
,,
Call letters,Network(s),City and state
WNAB,The CW,"Nashville, Tennessee"
WNAC-TV,64.1Fox,"Providence, Rhode Island"
,64.2MyNetworkTV,
WNBC,4.1NBC,"New York, New York"
WNBW-DT,9.1NBC,"Gainesville, Florida"
,45.2WYME-CD,
WNCF,ABC,"Montgomery, Alabama"
WNCN,17.1NBC,"Goldsboro, North Carolina"
,17.2Antenna TV,
WNCT-TV,9.1CBS,"Greenville, North Carolina"
,9.2The CW,
WNDU-TV,NBC,"South Bend, Indiana"
WNDY-TV,23.1MyNetworkTV,"Marion, Indiana"
,32.2Bounce TV,
WNED-TV,PBS,"Buffalo, New York"
WNEH,PBS,"Greenwood, South Carolina"
WNEM-TV,5.1CBS,"Bay City, Michigan"
,5.2MyNetworkTV,
WNEO,PBS,"Alliance, Ohio"
WNEP-TV,16.1ABC,"Scranton, Pennsylvania"
,16.2Antenna TV,
WNET,PBS,"Newark, New Jersey"
WNEU,Telemundo,"Merrimack, New Hampshire"
WNGH-TV,PBS,"Chatsworth, Georgia"
WNIN,PBS,"Evansville, Indiana"
WNIT,PBS,"South Bend, Indiana"
WNJB,PBS,"New Brunswick, New Jersey"
WNJN,PBS,"Montclair, New Jersey"
WNJS,23.1PBS,"Camden, New Jersey"
,23.3 AudioVision,
WNJT,PBS,"Trenton, New Jersey"
WNJU,Telemundo,"Linden, New Jersey"
WNJX-TV,Independent,"Mayagüez, Puerto Rico"
WNKY,40.1NBC,"Bowling Green, Kentucky"
,40.2CBS,
WNLO,The CW,"Buffalo, New York"
WNMU,PBS,"Marquette, Michigan"
WNNE,NBC,"Hartford, Vermont"
WNOL-TV,38.1The CW,"New Orleans, Louisiana"
,15.2This TV,
WNPB-TV,PBS,"Morgantown, West Virginia"
WNPI-DT,PBS,"Norwood, New York"
WNPT,PBS,"Nashville, Tennessee"
WNPX-TV,ION Television,"Cookeville, Tennessee"
WNSC-TV,PBS,"Rock Hill, South Carolina"
WNTV,PBS,"Greenville, South Carolina"
WNTZ-TV,Fox/MyNetworkTV,"Natchez, Mississippi"
WNUV,54.1The CW,"Baltimore, Maryland"
WNVC,mHz WorldView,"Fairfax, Virginia"
WNVT,mHz Worldview,"Goldvein, Virginia"
WNWO-TV,NBC,"Toledo, Ohio"
WNYA,51.1MyNetworkTV,"Pittsfield, Massachusetts"
,51.2WEPT-CD,
WNYB,TCT,"Jamestown, New York"
WNYE-TV,educational Independent,"New York, New York"
WNYI,Daystar,"Ithaca, New York"
WNYO-TV,MyNetworkTV,"Buffalo, New York"
WNYS-TV,MyNetworkTV,"Syracuse, New York"
WNYT,13.1NBC,"Albany, New York"
,12.2Me-TV,
WNYW,Fox,"New York, New York"
,,
WO[edit],,
,,
Call letters,Network(s),City and state
WOAI-TV,NBC,"San Antonio, Texas"
WOAY-TV,ABC,"Oak Hill, West Virginia"
WOFL,Fox,"Orlando, Florida"
WOGX,Fox,"Ocala, Florida"
WOI-DT,5.1ABC,"Ames, Iowa"
WOIO,19.1CBS,"Shaker Heights, Ohio"
,10.2Me-TV,
WOLE-DT,Telemundo,"Aguadilla, Puerto Rico"
WOLF-TV,Fox,"Hazleton, Pennsylvania"
WOLO-TV,25.1ABC,"Columbia, South Carolina"
,8.4Me-TV,
WOOD-TV,8.1NBC,"Grand Rapids, Michigan"
,7.2Bounce TV,
WOPX-TV,ION Television,"Melbourne, Florida"
WORA-TV,Univision,"Mayagüez, Puerto Rico"
WORO-DT,Independent/Religious,"San Juan, Puerto Rico"
WOST,Independent,"Mayagüez, Puerto Rico"
WOSU-TV,PBS,"Columbus, Ohio"
WOTF-DT,UniMás,"Melbourne, Florida"
WOTV,41.1ABC,"Battle Creek, Michigan"
WOUB-TV,PBS,"Athens, Ohio"
WOUC-TV,PBS,"Cambridge, Ohio"
WOWK-TV,CBS,"Huntington, West Virginia"
WOWT,6.1NBC,"Omaha, Nebraska"
,,
WP[edit],,
,,
Call letters,Network(s),City and state
WPAN,Cozi TV,"Fort Walton Beach, Florida"
WPBA,PBS,"Atlanta, Georgia"
WPBF,ABC,"Tequesta, Florida"
WPBN-TV,NBC,"Traverse City, Michigan"
WPBS-DT,PBS,"Watertown, New York"
WPBT,PBS,"Miami, Florida"
WPCB-TV,Cornerstone Television,"Greensburg, Pennsylvania"
WPCH-TV,Independent,"Atlanta, Georgia"
WPCT,tourist,"Panama City Beach, Florida"
WPCW,The CW,"Jeannette, Pennsylvania"
WPDE-TV,ABC,"Florence, South Carolina"
WPEC,12.1CBS,"West Palm Beach, Florida"
WPFO,Fox,"Waterville, Maine"
WPGA-TV,Independent,"Perry, Georgia"
WPGD-TV,TBN,"Hendersonville, Tennessee"
WPGH-TV,Fox,"Pittsburgh, Pennsylvania"
WPGX,Fox,"Panama City, Florida"
WPHL-TV,17.1MyNetworkTV,"Philadelphia, Pennsylvania"
,17.2Antenna TV,
,17.3This TV,
,17.4Mummers TV,
WPIX,11.1The CW,"New York, New York"
,11.2Antenna TV,
,11.3This TV,
WPLG,ABC,"Miami, Florida"
WPME,35.1MyNetworkTV,"Lewiston, Maine"
,28.2tourist,
WPMI-TV,NBC,"Mobile, Alabama"
WPMT,Fox,"York, Pennsylvania"
WPNE-TV,PBS,"Green Bay, Wisconsin"
WPNT,MyNetworkTV,"Pittsburgh, Pennsylvania"
WPPT,35.1MHz WorldView,"Philadelphia, Pennsylvania"
,35.2World,
WPPX-TV,61.1ION Television,"Philadelphia, Pennsylvania"
,61.2Qubo,
,61.3Ion Life,
,61.4Infomercials,
,61.5QVC,
,61.6Home Shopping Network,
WPRI-TV,12.1CBS,"Providence, Rhode Island"
,13.2Bounce TV,
WPSD-TV,6.1NBC,"Paducah, Kentucky"
,6.3Antenna TV,
WPSG,57.1The CW,"Philadelphia, Pennsylvania"
WPSU-TV,3.1 PBS,"Clearfield, Pennsylvania"
,3.2 Create,
,3.3 World,
WPTA,21.1ABC,"Fort Wayne, Indiana"
,24.2The CW,
WPTD,PBS,"Dayton, Ohio"
WPTO,PBS,"Oxford, Ohio"
WPTV-TV,NBC,"West Palm Beach, Florida"
WPTZ,5.1NBC,"North Pole, New York"
,5.2The CW,
,5.3Me-TV,
